epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.885274350643158,0.8799999952316284,0.2978401482105255,0.32402169704437256
2,0.9156365394592285,0.9399999976158142,0.22755444049835205,0.3081117570400238
3,0.9277814030647278,0.8999999761581421,0.19614292681217194,0.37438124418258667
4,0.9416612386703491,0.8999999761581421,0.16732682287693024,0.35275787115097046
5,0.9366731643676758,0.6600000262260437,0.17380651831626892,0.7485865950584412
6,0.9336369633674622,0.9399999976158142,0.19114525616168976,0.24172763526439667
7,0.9466493129730225,0.8999999761581421,0.15622296929359436,0.3174480199813843
8,0.9466493129730225,0.9399999976158142,0.1519835889339447,0.49705731868743896
9,0.9514205455780029,0.8799999952316284,0.14489516615867615,0.3493242561817169
10,0.9429624676704407,0.8999999761581421,0.1613796204328537,0.31689223647117615
